travel_id,travel_nm,traveler_id,travel_purpose,travel_start_ymd,travel_end_ymd,mvmn_nm,travel_persona,travel_mission,travel_mission_check
h_h000025,H01,h000025,1;2;3;4;7,2023-05-18,2023-05-22,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;3;4;7,6;7;28
h_h000028,H01,h000028,22;26;13;24,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부모 동반/일반미션",22;26;13;24,13;10;26
h_h000030,H01,h000030,22;8,2023-05-19,2023-05-22,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",22;8,22;8;6
h_h000031,H01,h000031,22;26,2023-05-15,2023-05-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;26,3;22;26
h_h000032,H01,h000032,21;22;23;24;26,2023-05-25,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",21;22;23;24;26,21;24;5
h_h000034,H01,h000034,1;2;3;4;5,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;2;3;4;5,7;8;1
h_h000037,H01,h000037,23;22;21;28;27;1;2,2023-06-01,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",23;22;21;28;27;1;2,21;22;23
h_h000038,H01,h000038,1;11;2;4;9,2023-06-02,2023-06-05,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;11;2;4;9,28;22;3
h_h000039,H01,h000039,1;5;7;10;21;22;23;24;27;28;26;4;3;2;12,2023-05-22,2023-05-25,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;5;7;10;21;22;23;24;27;28;26;4;3;2;12,21;24;5
h_h000042,H01,h000042,23;1;10;3;22;27;24;21,2023-05-30,2023-06-02,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",23;1;10;3;22;27;24;21,23;24;21
h_h000043,H01,h000043,2;23,2023-05-18,2023-05-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;23,2;23;22
h_h000047,H01,h000047,2;22;26;5;6,2023-05-15,2023-05-19,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;22;26;5;6,21;22;24
h_h000049,H01,h000049,1;22;23;26;9,2023-05-22,2023-05-25,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;22;23;26;9,21;23;24
h_h000051,H01,h000051,1;21;22;24,2023-05-28,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;21;22;24,22;24;1
h_h000052,H01,h000052,2;22;24;5;6,2023-05-20,2023-05-24,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3대 동반 여행/일반미션",2;22;24;5;6,24;26;2
h_h000053,H01,h000053,2;21;28;6,2023-05-22,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;21;28;6,2;21;28
h_h000055,H01,h000055,1;11;21;27;28,2023-05-20,2023-05-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;11;21;27;28,28;22;9
h_h000057,H01,h000057,22;24;6,2023-05-20,2023-05-22,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",22;24;6,22;24;6
h_h000058,H01,h000058,2;24;26;27;5,2023-05-20,2023-05-24,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;24;26;27;5,2;27;22
h_h000060,H01,h000060,21;22;24;3;6,2023-05-25,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;3;6,5;22;21
h_h000062,H01,h000062,27;22;5,2023-05-20,2023-05-22,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",27;22;5,27;22;5
h_h000065,H01,h000065,2;22;23;8,2023-05-16,2023-05-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;23;8,23;22;3
h_h000068,H01,h000068,2;22;4;5;6,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;22;4;5;6,6;5;22
h_h000069,H01,h000069,12;2;23;5;6,2023-05-17,2023-05-21,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",12;2;23;5;6,6;5;21
h_h000070,H01,h000070,1;2;21;22;3,2023-05-28,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;2;21;22;3,21;2;1
h_h000073,H01,h000073,1;2;23;26;4,2023-05-15,2023-05-19,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;2;23;26;4,23;26;22
h_h000074,H01,h000074,22;21;22;1;26;9;28,2023-06-07,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",22;21;22;1;26;9;28,22;21;6
h_h000076,H01,h000076,10;21;22;23;26,2023-05-23,2023-05-26,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",10;21;22;23;26,23;10;26
h_h000078,H01,h000078,6,2023-06-10,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",6,1;6;22
h_h000080,H01,h000080,22;23;26,2023-05-20,2023-05-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;23;26,23;26;3
h_h000085,H01,h000085,2;25;27,2023-05-27,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",2;25;27,25;21;27
h_h000086,H01,h000086,21;22;27,2023-05-29,2023-06-05,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;27,22;24;4
h_h000087,H01,h000087,21;22;23,2023-05-26,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",21;22;23,21;23;2
h_h000091,H01,h000091,1;21;22;26;6,2023-05-29,2023-06-01,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;21;22;26;6,22;6;21
h_h000092,H01,h000092,2;22;5,2023-05-23,2023-05-27,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;5,5;21;1
h_h000093,H01,h000093,23;24,2023-05-20,2023-05-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",23;24,23;2;26
h_h000094,H01,h000094,21;22;23;24;26,2023-05-30,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;23;24;26,22;6;28
h_h000095,H01,h000095,1;27,2023-05-16,2023-05-19,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",1;27,21;1;24
h_h000097,H01,h000097,2;23,2023-06-05,2023-06-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;23,21;23;2
h_h000098,H01,h000098,1;2;6,2023-05-16,2023-05-20,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;6,6;1;21
h_h000100,H01,h000100,22;24;26;27;4,2023-05-16,2023-05-19,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;26;27;4,13;22;24
h_h000103,H01,h000103,6;13;22;23;10;7;24;1,2023-06-05,2023-06-10,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",6;13;22;23;10;7;24;1,13;22;23
h_h000104,H01,h000104,11;2;6,2023-05-26,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",11;2;6,6;2;4
h_h000105,H01,h000105,22;27;21;23;26;24;1;7;6,2023-05-25,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;27;21;23;26;24;1;7;6,6;22;1
h_h000106,H01,h000106,21;22;24;26;28,2023-05-30,2023-06-02,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;26;28,4;5;21
h_h000107,H01,h000107,1;2;4;6;9,2023-05-21,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;4;6;9,2;4;27
h_h000108,H01,h000108,22;27,2023-06-06,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;27,1;24;26
h_h000111,H01,h000111,2;21;22;23;26,2023-05-23,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2;21;22;23;26,2;22;21
h_h000113,H01,h000113,1;5;22;28;4;24;26,2023-05-16,2023-05-20,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;5;22;28;4;24;26,5;4;1
h_h000120,H01,h000120,11;21;6,2023-05-17,2023-05-21,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",11;21;6,21;11;6
h_h000121,H01,h000121,22;24;25,2023-05-19,2023-05-22,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;25,25;22;24
h_h000123,H01,h000123,5;23;22,2023-06-04,2023-06-08,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",5;23;22,5;23;22
h_h000124,H01,h000124,11;6,2023-05-21,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",11;6,21;11;9
h_h000125,H01,h000125,11;22;26;5;6,2023-05-20,2023-05-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3대 동반 여행/일반미션",11;22;26;5;6,11;2;5
h_h000126,H01,h000126,21;22;23;24;26,2023-05-21,2023-05-25,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",21;22;23;24;26,23;10;1
h_h000130,H01,h000130,28,2023-05-18,2023-05-23,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",28,28;24;21
h_h000137,H01,h000137,2;24;28;3;6,2023-05-18,2023-05-20,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",2;24;28;3;6,3;22;24
h_h000138,H01,h000138,1;21;4,2023-05-21,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;21;4,21;1;4
h_h000141,H01,h000141,1;2;7,2023-06-06,2023-06-10,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",1;2;7,5;1;24
h_h000143,H01,h000143,21;22;23,2023-06-07,2023-06-10,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;23,21;23;22
h_h000147,H01,h000147,2;22;23;24;6,2023-06-05,2023-06-08,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",2;22;23;24;6,2;24;23
h_h000150,H01,h000150,25;8,2023-06-09,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",25;8,8;5;22
h_h000154,H01,h000154,1;22;26;27;4,2023-05-23,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;22;26;27;4,27;21;26
h_h000155,H01,h000155,1;2,2023-05-25,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;2,2;23;1
h_h000156,H01,h000156,2;23,2023-05-23,2023-05-26,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2;23,23;22;2
h_h000158,H01,h000158,23;24;3;4;7,2023-06-04,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",23;24;3;4;7,3;21;23
h_h000163,H01,h000163,1;2;3;6;7,2023-05-25,2023-05-31,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;2;3;6;7,6;3;24
h_h000168,H01,h000168,22;23;24;5;7,2023-05-23,2023-05-26,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",22;23;24;5;7,5;22;23
h_h000171,H01,h000171,1;2;21;26;27,2023-06-05,2023-06-09,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",1;2;21;26;27,2;22;3
h_h000172,H01,h000172,22;24;26;27,2023-05-23,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;26;27,22;26;27
h_h000173,H01,h000173,28;23;22;10;21;27,2023-06-06,2023-06-10,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",28;23;22;10;21;27,28;23;22
h_h000176,H01,h000176,1;24;28;3;22;3,2023-05-25,2023-05-31,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",1;24;28;3;22;3,3;28;24
h_h000179,H01,h000179,2;21;6,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3대 동반 여행/일반미션",2;21;6,2;21;4
h_h000181,H01,h000181,1;22;26;28,2023-06-07,2023-06-10,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;22;26;28,26;22;1
h_h000185,H01,h000185,2;22;24,2023-05-21,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;24,2;24;22
h_h000186,H01,h000186,22;23;26;4;5,2023-06-03,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",22;23;26;4;5,23;22;5
h_h000188,H01,h000188,9;2;21;10,2023-06-03,2023-06-06,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부모 동반/일반미션",9;2;21;10,1;2;6
h_h000192,H01,h000192,2;6;12,2023-05-25,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",2;6;12,2;6;22
h_h000194,H01,h000194,5;24;21;11;22;27;7,2023-06-04,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",5;24;21;11;22;27;7,11;22;27
h_h000200,H01,h000200,2;22;4;6,2023-05-28,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",2;22;4;6,2;4;22
h_h000202,H01,h000202,24;25;26;27;28,2023-06-02,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",24;25;26;27;28,5;28;6
h_h000203,H01,h000203,1;3;2;4;5;6;7;9;8;11;12;22;23;24;26;27;28,2023-06-05,2023-06-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;3;2;4;5;6;7;9;8;11;12;22;23;24;26;27;28,5;22;2
h_h000204,H01,h000204,1;21;22;5;6,2023-05-31,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;21;22;5;6,21;6;23
h_h000209,H01,h000209,21;3,2023-05-25,2023-06-01,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;3,21;3;1
h_h000212,H01,h000212,2;26,2023-05-31,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",2;26,2;5;11
h_h000215,H01,h000215,24;4;5;6;8,2023-05-30,2023-06-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",24;4;5;6;8,3;6;8
h_h000217,H01,h000217,2;21;22;24;23;26;27,2023-06-06,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",2;21;22;24;23;26;27,21;22;23
h_h000218,H01,h000218,11;2;5;6;8,2023-05-28,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",11;2;5;6;8,21;22;2
h_h000221,H01,h000221,11;2;28,2023-05-29,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",11;2;28,2;6;24
h_h000222,H01,h000222,1;10;2;6,2023-05-26,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;10;2;6,22;1;6
h_h000224,H01,h000224,26;21,2023-05-26,2023-05-27,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",26;21,21;22;26
h_h000225,H01,h000225,2,2023-05-27,2023-05-31,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2,6;2;11
h_h000228,H01,h000228,21;24;28,2023-05-30,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",21;24;28,21;24;28
h_h000230,H01,h000230,21;22,2023-06-05,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22,21;28;23
h_h000231,H01,h000231,1;3;4;6;8,2023-05-28,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;3;4;6;8,8;2;23
h_h000232,H01,h000232,23;1;6,2023-05-30,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",23;1;6,6;23;10
h_h000233,H01,h000233,1;3;2;23;22;12;24;26;5;21;28,2023-05-26,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;3;2;23;22;12;24;26;5;21;28,22;2;23
h_h000234,H01,h000234,21;22;24;26;6,2023-05-25,2023-05-26,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",21;22;24;26;6,21;22;24
h_h000237,H01,h000237,1;3;7;10;21;23,2023-06-08,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;3;7;10;21;23,3;23;21
h_h000238,H01,h000238,2;11;9,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;11;9,3;11;6
h_h000245,H01,h000245,12;2;21;26;6,2023-06-04,2023-06-06,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",12;2;21;26;6,6;26;21
h_h000247,H01,h000247,1;22;24;5,2023-05-25,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;22;24;5,24;22;1
h_h000248,H01,h000248,21;22;26;4;5,2023-05-31,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",21;22;26;4;5,21;5;22
h_h000249,H01,h000249,28;5,2023-06-06,2023-06-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",28;5,28;5;21
h_h000250,H01,h000250,1;2;22;26;6,2023-05-30,2023-06-02,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;2;22;26;6,22;26;6
h_h000256,H01,h000256,26,2023-06-02,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",26,26;9;22
h_h000257,H01,h000257,22;5;27,2023-06-03,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",22;5;27,5;22;24
h_h000258,H01,h000258,2;21;22;23;24,2023-05-28,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;21;22;23;24,21;22;26
h_h000259,H01,h000259,28,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",28,28;6;22
h_h000261,H01,h000261,1;2;3;6;9,2023-05-25,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",1;2;3;6;9,3;6;22
h_h000263,H01,h000263,1;2;22;24;25,2023-05-26,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;22;24;25,5;22;25
h_h000267,H01,h000267,2;21;4;5;6,2023-05-30,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2;21;4;5;6,27;2;1
h_h000271,H01,h000271,21;22;23;28,2023-05-31,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;23;28,5;21;22
h_h000275,H01,h000275,2;21;22;24;9,2023-06-08,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",2;21;22;24;9,11;24;27
h_h000276,H01,h000276,22;24;28;5;6,2023-05-27,2023-05-31,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",22;24;28;5;6,6;21;22
h_h000280,H01,h000280,1;2;22;6,2023-06-08,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;2;22;6,22;3;1
h_h000281,H01,h000281,2;21;24,2023-06-06,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;21;24,2;21;24
h_h000282,H01,h000282,21;22;23;28;4,2023-06-04,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",21;22;23;28;4,22;23;28
h_h000283,H01,h000283,1;2;22;23;6,2023-06-06,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;2;22;23;6,11;2;6
h_h000286,H01,h000286,1;12;2;22;6,2023-06-03,2023-06-07,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;12;2;22;6,2;12;1
h_h000291,H01,h000291,22;21;26;2,2023-06-06,2023-06-10,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",22;21;26;2,21;22;2
h_h000294,H01,h000294,21;22;23;27;26;24,2023-06-02,2023-06-05,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;23;27;26;24,21;22;27
h_h000300,H01,h000300,2;22;5;8,2023-05-31,2023-06-08,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",2;22;5;8,28;5;22
h_h000301,H01,h000301,5;2;6,2023-06-01,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",5;2;6,5;21;24
h_h000304,H01,h000304,11;2;22;23;26,2023-05-30,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",11;2;22;23;26,2;22;1
h_h000306,H01,h000306,1;2;22;5;6,2023-05-27,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3대 동반 여행/일반미션",1;2;22;5;6,22;21;2
h_h000307,H01,h000307,1;22;25;3;6,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;22;25;3;6,25;22;27
h_h000311,H01,h000311,12;2;22;26;6,2023-05-31,2023-06-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",12;2;22;26;6,22;11;12
h_h000312,H01,h000312,11;22,2023-05-31,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",11;22,11;1;22
h_h000313,H01,h000313,10;22;26,2023-06-03,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",10;22;26,10;22;6
h_h000314,H01,h000314,21;22;23;24;26,2023-05-31,2023-06-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",21;22;23;24;26,5;23;21
h_h000317,H01,h000317,21;22;1;2,2023-06-06,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;1;2,5;2;27
h_h000319,H01,h000319,2;21;22;5;6,2023-06-01,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;21;22;5;6,2;23;6
h_h000321,H01,h000321,2;22;5;24;26;27,2023-06-03,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;22;5;24;26;27,2;6;24
h_h000322,H01,h000322,1;10;2;4;5,2023-05-29,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;10;2;4;5,5;10;21
h_h000323,H01,h000323,28;25,2023-05-29,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",28;25,3;2;25
h_h000324,H01,h000324,1;5;6;6;22;28;3;9;21,2023-06-05,2023-06-08,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;5;6;6;22;28;3;9;21,22;6;3
